station,thecount,stationid,lat,long,elevation,state,name
USC00063207,9
USC00295960,9
USC00300889,9
USC00318694,9
USC00350694,9
USC00351862,9
USC00351897,9
USC00352997,9
USC00354003,9
USC00355384,9
USC00420086,9
USC00441209,9
USC00454764,9
USC00487240,9
USW00013724,9
USC00048758,10
USC00314055,10
USC00351433,10
USC00353770,10
USC00358466,10
USC00450945,10
USC00451276,10
USC00451484,10
USC00451939,10
USC00454769,10
USC00455224,10
USC00458773,10
USC00047916,11
USC00451233,11
USC00452675,11
USC00457507,11
USC00457773,11
USC00040693,12
USC00043161,12
USC00046175,12
USC00351055,12
USC00358494,12
USC00450008,12
USC00450587,12
USC00450729,12
USC00452914,12
USC00454748,12
USC00456096,12
USC00456624,12
USC00456678,12
USC00456914,12
USW00024213,12
USW00024281,12
USW00024284,12
USW00024285,12
USW00094224,12
